Link,Location Name,Host Name,Address,Phone Number,Web Site,Review Count
https://www.peerspace.com/pages/listings/614125e78c75a3000c39636e,Downtown Royalty Loft Intimate Event Space,Tjuan H.,"Deep Ellum, Dallas, TX",,,60
https://www.peerspace.com/pages/listings/6241f7da28369a000f280ced,Outdoor Oasis,Candice Z.,"McKinney, TX",,,0
https://www.peerspace.com/pages/listings/62426c0828369a000f28285a,Historic Waxahachie White House,Jaclyn W.,"Waxahachie, TX",,,0
https://www.peerspace.com/pages/listings/6250b793f4033e000e3d094b,Kelly Oliver/frank Lloyd Wright Home on Private Estate,Tom Z.,"Barton Estates, Irving, TX",,,0
https://www.peerspace.com/pages/listings/62681972c6eb76000fd12b49,Euless Home w/Pool minutes to DFW!,Naomi C.,"Euless, TX",,,0
https://www.peerspace.com/pages/listings/62672e75fd59a2000e7d503e,BootUP World Outdoor Event Space,Tim A.,"Westlake, Daly City, CA",,,0
https://www.peerspace.com/pages/listings/62573882d7842d000ef3ba90,Arts District Selfie Gallery and Party Venue,Gregory G.,"Lincoln Park, Denver, CO",,,0
https://www.peerspace.com/pages/listings/62643b1b3af9d0000e167061,Luxurious Urban Oasis in the heart of Downtown Denver,Andrew K.,"West Colfax, Denver, CO",,,0
https://www.peerspace.com/pages/listings/625cc01fd7842d000ef4fb11,Natural Light Photography Studio & Creative Space in Downtown Littleton,April M.,"Littleton, CO",,,0
https://www.peerspace.com/pages/listings/6247c3654a44c2000e1f2633,Cheerfully Redecorated 1938 House,Elle F.,"Golden, CO",,,0
https://www.peerspace.com/pages/listings/6244accf28369a000f28a0df,Amazing Restaurant Space in the Heart of RiNo!,Jerrod R.,"Five Points, Denver, CO",,,0
https://www.peerspace.com/pages/listings/623f98a310274c0021472e68,Beautiful Private Event Space,Valeska G.,"Central, Billings, MT",,,0
https://www.peerspace.com/pages/listings/62550198f4033e000e3ddbe8,Modern Malibu Retreat with Amazing Views,Kimberly N.,"Malibu, CA",,,0
https://www.peerspace.com/pages/listings/625f11ea773592000fdc1226,Oakland Hills Home with Natural Light and City View,Victory O.,"Millsmont, Oakland, CA",,,0
https://www.peerspace.com/pages/listings/622fe939f7f2760021867a04,"Spacious Conference Center (+breakout rooms), Centrally Located in Rockridge",Pauline V.,"Rockridge, Oakland, CA",,,0
https://www.peerspace.com/pages/listings/625c9cee9a2b9d000e640af6,Berkeley Modern Craftsman Home,Randy W.,"Elmwood, Berkeley, CA",,,0
https://www.peerspace.com/pages/listings/6259ae909a2b9d000e638634,Bright & Airy Restaurant/Event Space in West Berkeley,Sequoia D.,"Southwest Berkeley, Berkeley, CA",,,0
https://www.peerspace.com/pages/listings/625c1c6fd7842d000ef4e05e,"The Perfect Event Space for your Birthday Party, Baby Shower, Bridal Shower, Graduation & Anniversary Celebrations",Jualeah S.,"Northgate - Waverly, Oakland, CA",,,0
https://www.peerspace.com/pages/listings/6255f7539a2b9d000e627926,Atelier Corner Office,Cecilia A.,"Southwest Berkeley, Berkeley, CA",,,0
https://www.peerspace.com/pages/listings/6243e10d28369a000f287803,Tranquil Treehouse: Light-filled Modern Studio Apartment in Quiet Oakland Hills,Callie B.,"Piedmont Pines, Oakland, CA",,,0
https://www.peerspace.com/pages/listings/6249e40e4a44c2000e1f5726,Bohemian Lair with 3 large Floor-to-Ceiling Balcony Doors,Claire H.,"Landmark, Alexandria, VA",,,0
https://www.peerspace.com/pages/listings/624fca98f4033e000e3cd97e,"Perfect Space to Host a Gathering in Alexandria, VA",Nell K.,"Rose Hill, Alexandria, VA",,,0
https://www.peerspace.com/pages/listings/6239a7e1f7f276002188306b,Elegant Emerald Apartment Great for Photo Shoots,Natasha G.,"Alpharetta, GA",,,0
https://www.peerspace.com/pages/listings/5b3680cc6d9f720f0078b243,Sundrenched Conference Room with view of Catalina Island,Lucinda T.,"Anaheim Resort, Orange, CA",,,0
https://www.peerspace.com/pages/listings/5b3681866d9f720f0078b26a,Pleasant Conference Room in the City of Orange,Lucinda T.,"Anaheim Resort, Anaheim, CA",,,0
https://www.peerspace.com/pages/listings/625f3a64694aba000f0e072a,Comfortable Day Office in Orange with Skyline View,Lucinda T.,"Anaheim Resort, Anaheim, CA",,,0
https://www.peerspace.com/pages/listings/625f63f3773592000fdc3e4f,Backyard Oasis with lots of Sun!,Cassie C.,"Garden Grove, CA",,,0
https://www.peerspace.com/pages/listings/6254d6a7eee98f000f563dd5,Meeting Room To Impress,Kavita K.,"Chino, CA",,,0
https://www.peerspace.com/pages/listings/6259c2dfd7842d000ef47374,"Multiple function studio for Events&ArtShow/FilmTV shoot/Party&Banquet, locates at the joint of 10 & 605 freeway.",Nick W.,"Irwindale, CA",,,0
https://www.peerspace.com/pages/listings/6259ee559a2b9d000e639f2d,Professional Training Facility,Lianne S.,"Tustin, CA",,,0
https://www.peerspace.com/pages/listings/624dcb4aeee98f000f54d1f1,Bright Lit Studio with Easy Access Off Freeway,STEVIE C.,"Anaheim Hills, Anaheim, CA",,,0
https://www.peerspace.com/pages/listings/624cc67b2374b6000f342d73,"Meet, Present, and Impress",Kavita K.,"Chino, CA",,,0
https://www.peerspace.com/pages/listings/62410a27f7f2760021895a58,Bright Boutique Studio,Danielle C.,"Costa Mesa, CA",,,0
https://www.peerspace.com/pages/listings/624f5145f4033e000e3cbab0,Colorful Conference Room in Vibrant Space,Elizabeth G.,"Dupont Circle, Washington, DC",,,0
https://www.peerspace.com/pages/listings/624a47294a44c2000e1f6944,Modern Artist's Apartment,Justine U.,"Northwest Washington, Washington, DC",,,0
https://www.peerspace.com/pages/listings/5ab14d19840c1f9200dcbec0,Elegant Rooftop Lounge with Expansive Views,Lauren C.,"Downtown Silver Spring, Silver Spring, MD",,,15
https://www.peerspace.com/pages/listings/6245d7e52374b6000f330b58,Renovated Luxury Row House in the Heart of DC,Austin T.,"Pleasant Plains, Washington, DC",,,0
https://www.peerspace.com/pages/listings/5e1e144ebf21f2000d01307f,Interior Rooftop Lounge with Stunning Views Perfect for your Next Gathering,Community Mgmt. T.,"NoMa, Washington, DC",,,6
https://www.peerspace.com/pages/listings/5d94f5ab83842e000e31eab3,"Spacious Event Space with High Ceilings, Entertaining Kitchen and TVs with surround sound",Michelle B.,"Northeast Washington, Washington, DC",,,18
https://www.peerspace.com/pages/listings/5d94f84983842e000e31ec05,Private Meeting/Dining Event Space for 10,Michelle B.,"NoMa, Washington, DC",,,1
https://www.peerspace.com/pages/listings/6263870dfe44de000ef94041,Multi- Purposed Collaborative Studio,Bridgette P.,"Fort Worth, TX",,,0
https://www.peerspace.com/pages/listings/6239ef4d10274c00214635f0,"Business Conference Room, Arlington Entertainment District",Aydn T.,"North Arlington, Arlington, TX",,,0
https://www.peerspace.com/pages/listings/625d9c07694aba000f0d7724,Versatile Venue Perfect for Corporate Events,Georgette K.,"Hurst, TX",,,0
https://www.peerspace.com/pages/listings/6260115d773592000fdc5e6e,"Modern, Bright Urban Space in trendy River Arts District",Jared K.,"River Arts District, Asheville, NC",,,0
https://www.peerspace.com/pages/listings/6255a833d7842d000ef33ea1,Midtown High-Rise with City Views,Natasha G.,"Midtown, Atlanta, GA",,,3
https://www.peerspace.com/pages/listings/62599e3d9a2b9d000e63813f,Luxury Buckhead Home,Anthony W.,"Buckhead, Atlanta, GA",,,0
https://www.peerspace.com/pages/listings/62606c09773592000fdc7956,Spacious Downtown Executive Boardroom,Natori D.,"Jonesboro, GA",,,0
https://www.peerspace.com/pages/listings/620f0e1a10274c00213c10bc,Off-Site Studio Located in Chamblee,Simon R.,"Chamblee, Atlanta, GA",,,8
https://www.peerspace.com/pages/listings/624b34b12374b6000f33d897,Luxury Condo,Ree L.,"Betmar La Villa, Atlanta, GA",,,0
https://www.peerspace.com/pages/listings/61f9b745f7f276002178449b,Charming Historic Space In the Heart Of East Atlanta,Lana M.,"East Atlanta, Atlanta, GA",,,0
https://www.peerspace.com/pages/listings/625ff4be773592000fdc5998,Modern Production and Event Space in the Heart of Downtown Atlanta,Jessie M.,"English Avenue, Atlanta, GA",,,0
https://www.peerspace.com/pages/listings/620716f9f7f27600217c3f31,Historic Atlanta Home,Blair W.,"West Highlands, Atlanta, GA",,,0
https://www.peerspace.com/pages/listings/625e0c79773592000fdbbf89,Modern Ice Cream Lounge/Coffee Cafe,Kelli B.,"Ellenwood, GA",,,0
https://www.peerspace.com/pages/listings/62599fda9a2b9d000e6381f8,Bright & Modern Meeting/ Work Space,Janelle W.,"Smyrna, GA",,,0
https://www.peerspace.com/pages/listings/62548caceee98f000f562059,The Yellow House Atlanta,Nisey W.,"Oakland City, Atlanta, GA",,,0
https://www.peerspace.com/pages/listings/6241e2a872c628000eed2f10,NB Playhouse ATL,Khane C.,"Glenrose Heights, Atlanta, GA",,,2
https://www.peerspace.com/pages/listings/62561547d7842d000ef36305,Mansion with a Beautiful Pool,Brittany C.,"Atlanta, GA",,,0
https://www.peerspace.com/pages/listings/625772dc9a2b9d000e62edae,Midtown Modern Meeting Room,Kenya R.,"Buckhead, Atlanta, GA",,,0
https://www.peerspace.com/pages/listings/62538f0af4033e000e3d7d6e,"Modern, Contemporary House with Game Room",Courtney K.,"Marietta, GA",,,0
https://www.peerspace.com/pages/listings/6254ec91f4033e000e3dd613,Energy efficient smart home just outside of Atlanta,Betty G.,"Decatur, GA",,,0
https://www.peerspace.com/pages/listings/623f8a4810274c0021472bb8,"Bright, Stylish, Contemporary Boho Home w/ Outdoor Space perfect for Photography & Meetings",Austin W.,"Grove Park, Atlanta, GA",,,1
https://www.peerspace.com/pages/listings/6254d0f6eee98f000f563b75,Modern Condo Smyrna,Belle L.,"Smyrna, GA",,,0
https://www.peerspace.com/pages/listings/6253571eeee98f000f55df36,Roomy Open Space with ample parking,D.Ayisha J.,"Forest Park, GA",,,0
https://www.peerspace.com/pages/listings/624fd9eaeee98f000f55489c,Elegant Renovated Home near the Airport,Marcus M.,"River Park, East Point, GA",,,0
https://www.peerspace.com/pages/listings/6211e26710274c00213ccfd8,Luxurious Buckhead Event Space,Jazmin M.,"Lindridge-Martin Manor, Atlanta, GA",,,0
https://www.peerspace.com/pages/listings/624fb881eee98f000f5542c3,Sunflower Bungalow in Downtown Austell,Derek C.,"Austell, GA",,,0
https://www.peerspace.com/pages/listings/5af5dc36387f313800e2d0c8,Spacious Art Gallery For Your Next Meeting or Workshop,William C.,"Pittsburgh, Atlanta, GA",,,16
https://www.peerspace.com/pages/listings/624b5def4a44c2000e1f9c18,Cozy Farmhouse ATL,Rickey L.,"Downtown Decatur, , ",,,0
https://www.peerspace.com/pages/listings/6248de644a44c2000e1f4814,Atlanta Best Recording Studio with a Cozy Bedroom,Odelle K.,"East Point, GA",,,0
https://www.peerspace.com/pages/listings/624b91932374b6000f33eeb2,Stylist Modern House With Natural Light,Andrea S.,"South Fulton, Atlanta, GA",,,0
https://www.peerspace.com/pages/listings/6245dd364a44c2000e1ebdbb,Sunny Bungalow with Porch & Deck!,Samantha H.,"Jefferson Park, East Point, GA",,,0
https://www.peerspace.com/pages/listings/623e610ef7f2760021891db2,Buckhead Highrise With SKYLINE View,Ace S.,"Buckhead, Atlanta, GA",,,0
https://www.peerspace.com/pages/listings/6244d3c328369a000f28ad3a,Professionally Designed Loft,Erika B.,"Vine City, Atlanta, GA",,,0
https://www.peerspace.com/pages/listings/623c343bf7f276002188b7b8,Atlantic Station Creators Lab,Penson D.,"Midtown, Atlanta, GA",,,0
https://www.peerspace.com/pages/listings/623a0a8210274c0021463ea4,Luxury Office Space on Top Floor!,André J.,"Cumberland, Marietta, GA",,,0
https://www.peerspace.com/pages/listings/62421e4972c628000eed3e12,Huge Loft downtown Atlanta with natural lighting and beautiful decor,Julie K.,"Downtown Atlanta, Atlanta, GA",,,0
https://www.peerspace.com/pages/listings/62461bd54a44c2000e1ecf79,The East Atlanta Cottage Retreat,Ronald J.,"Custer/McDonough/Guice, Atlanta, GA",,,0
https://www.peerspace.com/pages/listings/6264c1653af9d0000e169004,Stylish Ranch Home,Marlon B.,"Florida Heights, Atlanta, GA",,,0
https://www.peerspace.com/pages/listings/6248ed184a44c2000e1f49d0,Cheerful 4 Bedroom Home - Back Yard/Game Room!,Greg M.,"Centennial, CO",,,0
https://www.peerspace.com/pages/listings/624e0547f4033e000e3c7a70,Captain's Retreat - Private 4 Acre Hideaway,Carla S.,"Parker, CO",,,0
https://www.peerspace.com/pages/listings/625d0414b0527d000efffbb9,"Flex Space for Workshops, Classroom, and Events",Nathan C.,"Lithia Springs, GA",,,0
https://www.peerspace.com/pages/listings/624b70172374b6000f33e81a,"Funky Retro Gameroom with Swimming Pool, Pergola and Backyard Vintage Trailer in a Country Setting",Jennifer And Heinz H.,"West Oak Hill, Austin, TX",,,3
https://www.peerspace.com/pages/listings/625bfacad7842d000ef4de1a,Colorfully Design Artistic Home | Perfect for Corporate Meetings,Rebecca F.,"Montopolis, Austin, TX",,,0
https://www.peerspace.com/pages/listings/6255fc8d9a2b9d000e627b44,The Enclave,Jay R.,"Barton Hills, Austin, TX",,,0
https://www.peerspace.com/pages/listings/619fd708bdb172000d2c6dda,Urban Contemporary Art gallery,Richard S.,"Holly, Austin, TX",,,5
https://www.peerspace.com/pages/listings/62504f2cf4033e000e3cea37,Beautiful and Modern Conference Room,Lauren C.,"Cedar Park, TX",,,0
https://www.peerspace.com/pages/listings/624dbbf7eee98f000f54cecd,Hyde Park Beauty,Melissa W.,"North Loop, Austin, TX",,,0
https://www.peerspace.com/pages/listings/626066c0694aba000f0e5be8,Hyde Park Creative Space,Maria O.,"Hyde Park, Austin, TX",,,0
https://www.peerspace.com/pages/listings/61dfabbb21ef57000d01b78c,Beautiful Contemporary Film/Photo Studio,Tee F.,"Hampden, Baltimore, MD",,,11
https://www.peerspace.com/pages/listings/625efb92694aba000f0deb6e,Gold Room w/ 70 in TV & Kitchen,Royalty V.,"Franklin Square, Baltimore, MD",,,0
https://www.peerspace.com/pages/listings/625eb3f0773592000fdbec2f,8-Person Professional Conference Room 335,Scott D.,"Hanover, MD",,,1
https://www.peerspace.com/pages/listings/5e614d1fd92feb000c242d09,"Intimate, Creative Meeting Space for 20ppl or less",Bianca J.,"Canton, Baltimore, MD",,,0
https://www.peerspace.com/pages/listings/5e34c0ea0de985000c26580b,"Spacious Club House w/ Tvs, Fireplace, Kitchen and Games Perfect for your Next Party or Team Meeting!",Community Mgmt. T.,"BWI Business District, Linthicum Heights, MD",,,0
